support,itemsets
0.073806078147612,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks'])"
0.073806078147612,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks'])"
0.073806078147612,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkSecurityGroups'])"
0.073806078147612,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/virtualNetworks'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/virtualNetworks'])"
0.070911722141824,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'extensions'])"
0.070911722141824,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/virtualNetworks'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces'])"
0.070911722141824,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'extensions', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
0.070911722141824,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
